Prime,Buckets,,,Groupings,Label,groupings
3691,3601 up to 3700,,,51401,51401 up to 51500,
3697,3601 up to 3700,,,51501,51501 up to 51600,
3701,3701 up to 3800,,,51601,51601 up to 51700,
3709,3701 up to 3800,,,51701,51701 up to 51800,
3719,3701 up to 3800,,,51801,51801 up to 51900,
3727,3701 up to 3800,,,51901,51901 up to 52000,
3733,3701 up to 3800,,,52001,52001 up to 52100,
3739,3701 up to 3800,,,52101,52101 up to 52200,
3761,3701 up to 3800,,,52201,52201 up to 52300,
3767,3701 up to 3800,,,52301,52301 up to 52400,
3769,3701 up to 3800,,,52401,52401 up to 52500,
3779,3701 up to 3800,,,52501,52501 up to 52600,
3793,3701 up to 3800,,,52601,52601 up to 52700,
3797,3701 up to 3800,,,52701,52701 up to 52800,
3803,3801 up to 3900,,,52801,52801 up to 52900,
3821,3801 up to 3900,,,52901,52901 up to 53000,
3823,3801 up to 3900,,,53001,53001 up to 53100,
